id,article,question,option,answer,label
syn_64,Photosynthesis is the process by which plants use sunlight water and carbon dioxide to produce oxygen and sugar. It takes place in chloroplasts inside plant leaves. Chlorophyll absorbs sunlight and is fundamental to all life on Earth.,Where does photosynthesis primarily take place?,In chloroplasts inside leaves,A,1
syn_65,The Amazon rainforest is the world's largest tropical rainforest covering most of the Amazon basin. It represents over half of the planet's remaining rainforests and is home to three million species. Deforestation remains a critical threat driven by cattle ranching and agriculture.,What is the main threat to the Amazon rainforest?,Flooding,B,0
syn_66,The human brain weighs about 1.4 kilograms and contains approximately 86 billion neurons. The cerebrum controls thinking memory and voluntary movement. The cerebellum coordinates balance. Scientists continue discovering new facts about brain information processing.,What does the cerebrum control?,Breathing and digestion,C,0
syn_67,Solar energy converts sunlight into electrical energy using photovoltaic cells in solar panels. It is the cleanest most abundant renewable energy source. Solar costs have dropped dramatically over the past decade making it accessible worldwide.,What converts sunlight into electricity in solar panels?,Wind turbines,D,0
syn_68,The Great Wall of China stretches over 21196 kilometers across northern China. It was built to protect Chinese states from northern invasions beginning as early as the 7th century BC. It remains one of the greatest architectural feats in history.,How long is the Great Wall of China?,21196 kilometers,A,1
syn_69,Photosynthesis is the process by which plants use sunlight water and carbon dioxide to produce oxygen and sugar. It takes place in chloroplasts inside plant leaves. Chlorophyll absorbs sunlight and is fundamental to all life on Earth.,Where does photosynthesis primarily take place?,In the roots,B,0
syn_70,The Amazon rainforest is the world's largest tropical rainforest covering most of the Amazon basin. It represents over half of the planet's remaining rainforests and is home to three million species. Deforestation remains a critical threat driven by cattle ranching and agriculture.,What is the main threat to the Amazon rainforest?,Flooding,C,0
syn_71,The human brain weighs about 1.4 kilograms and contains approximately 86 billion neurons. The cerebrum controls thinking memory and voluntary movement. The cerebellum coordinates balance. Scientists continue discovering new facts about brain information processing.,What does the cerebrum control?,Breathing and digestion,D,0
syn_72,Solar energy converts sunlight into electrical energy using photovoltaic cells in solar panels. It is the cleanest most abundant renewable energy source. Solar costs have dropped dramatically over the past decade making it accessible worldwide.,What converts sunlight into electricity in solar panels?,Photovoltaic cells,A,1
syn_73,The Great Wall of China stretches over 21196 kilometers across northern China. It was built to protect Chinese states from northern invasions beginning as early as the 7th century BC. It remains one of the greatest architectural feats in history.,How long is the Great Wall of China?,5000 kilometers,B,0
syn_74,Photosynthesis is the process by which plants use sunlight water and carbon dioxide to produce oxygen and sugar. It takes place in chloroplasts inside plant leaves. Chlorophyll absorbs sunlight and is fundamental to all life on Earth.,Where does photosynthesis primarily take place?,In the roots,C,0
syn_75,The Amazon rainforest is the world's largest tropical rainforest covering most of the Amazon basin. It represents over half of the planet's remaining rainforests and is home to three million species. Deforestation remains a critical threat driven by cattle ranching and agriculture.,What is the main threat to the Amazon rainforest?,Flooding,D,0
syn_76,The human brain weighs about 1.4 kilograms and contains approximately 86 billion neurons. The cerebrum controls thinking memory and voluntary movement. The cerebellum coordinates balance. Scientists continue discovering new facts about brain information processing.,What does the cerebrum control?,Thinking memory and voluntary movement,A,1
syn_77,Solar energy converts sunlight into electrical energy using photovoltaic cells in solar panels. It is the cleanest most abundant renewable energy source. Solar costs have dropped dramatically over the past decade making it accessible worldwide.,What converts sunlight into electricity in solar panels?,Wind turbines,B,0
syn_78,The Great Wall of China stretches over 21196 kilometers across northern China. It was built to protect Chinese states from northern invasions beginning as early as the 7th century BC. It remains one of the greatest architectural feats in history.,How long is the Great Wall of China?,5000 kilometers,C,0
syn_79,Photosynthesis is the process by which plants use sunlight water and carbon dioxide to produce oxygen and sugar. It takes place in chloroplasts inside plant leaves. Chlorophyll absorbs sunlight and is fundamental to all life on Earth.,Where does photosynthesis primarily take place?,In the roots,D,0
syn_80,The Amazon rainforest is the world's largest tropical rainforest covering most of the Amazon basin. It represents over half of the planet's remaining rainforests and is home to three million species. Deforestation remains a critical threat driven by cattle ranching and agriculture.,What is the main threat to the Amazon rainforest?,Deforestation,A,1
syn_81,The human brain weighs about 1.4 kilograms and contains approximately 86 billion neurons. The cerebrum controls thinking memory and voluntary movement. The cerebellum coordinates balance. Scientists continue discovering new facts about brain information processing.,What does the cerebrum control?,Breathing and digestion,B,0
syn_82,Solar energy converts sunlight into electrical energy using photovoltaic cells in solar panels. It is the cleanest most abundant renewable energy source. Solar costs have dropped dramatically over the past decade making it accessible worldwide.,What converts sunlight into electricity in solar panels?,Wind turbines,C,0
syn_83,The Great Wall of China stretches over 21196 kilometers across northern China. It was built to protect Chinese states from northern invasions beginning as early as the 7th century BC. It remains one of the greatest architectural feats in history.,How long is the Great Wall of China?,5000 kilometers,D,0
syn_84,Photosynthesis is the process by which plants use sunlight water and carbon dioxide to produce oxygen and sugar. It takes place in chloroplasts inside plant leaves. Chlorophyll absorbs sunlight and is fundamental to all life on Earth.,Where does photosynthesis primarily take place?,In chloroplasts inside leaves,A,1
syn_85,The Amazon rainforest is the world's largest tropical rainforest covering most of the Amazon basin. It represents over half of the planet's remaining rainforests and is home to three million species. Deforestation remains a critical threat driven by cattle ranching and agriculture.,What is the main threat to the Amazon rainforest?,Flooding,B,0
syn_86,The human brain weighs about 1.4 kilograms and contains approximately 86 billion neurons. The cerebrum controls thinking memory and voluntary movement. The cerebellum coordinates balance. Scientists continue discovering new facts about brain information processing.,What does the cerebrum control?,Breathing and digestion,C,0
syn_87,Solar energy converts sunlight into electrical energy using photovoltaic cells in solar panels. It is the cleanest most abundant renewable energy source. Solar costs have dropped dramatically over the past decade making it accessible worldwide.,What converts sunlight into electricity in solar panels?,Wind turbines,D,0
syn_88,The Great Wall of China stretches over 21196 kilometers across northern China. It was built to protect Chinese states from northern invasions beginning as early as the 7th century BC. It remains one of the greatest architectural feats in history.,How long is the Great Wall of China?,21196 kilometers,A,1
syn_89,Photosynthesis is the process by which plants use sunlight water and carbon dioxide to produce oxygen and sugar. It takes place in chloroplasts inside plant leaves. Chlorophyll absorbs sunlight and is fundamental to all life on Earth.,Where does photosynthesis primarily take place?,In the roots,B,0
syn_90,The Amazon rainforest is the world's largest tropical rainforest covering most of the Amazon basin. It represents over half of the planet's remaining rainforests and is home to three million species. Deforestation remains a critical threat driven by cattle ranching and agriculture.,What is the main threat to the Amazon rainforest?,Flooding,C,0
syn_91,The human brain weighs about 1.4 kilograms and contains approximately 86 billion neurons. The cerebrum controls thinking memory and voluntary movement. The cerebellum coordinates balance. Scientists continue discovering new facts about brain information processing.,What does the cerebrum control?,Breathing and digestion,D,0
syn_92,Solar energy converts sunlight into electrical energy using photovoltaic cells in solar panels. It is the cleanest most abundant renewable energy source. Solar costs have dropped dramatically over the past decade making it accessible worldwide.,What converts sunlight into electricity in solar panels?,Photovoltaic cells,A,1
syn_93,The Great Wall of China stretches over 21196 kilometers across northern China. It was built to protect Chinese states from northern invasions beginning as early as the 7th century BC. It remains one of the greatest architectural feats in history.,How long is the Great Wall of China?,5000 kilometers,B,0
syn_94,Photosynthesis is the process by which plants use sunlight water and carbon dioxide to produce oxygen and sugar. It takes place in chloroplasts inside plant leaves. Chlorophyll absorbs sunlight and is fundamental to all life on Earth.,Where does photosynthesis primarily take place?,In the roots,C,0
syn_95,The Amazon rainforest is the world's largest tropical rainforest covering most of the Amazon basin. It represents over half of the planet's remaining rainforests and is home to three million species. Deforestation remains a critical threat driven by cattle ranching and agriculture.,What is the main threat to the Amazon rainforest?,Flooding,D,0
syn_96,The human brain weighs about 1.4 kilograms and contains approximately 86 billion neurons. The cerebrum controls thinking memory and voluntary movement. The cerebellum coordinates balance. Scientists continue discovering new facts about brain information processing.,What does the cerebrum control?,Thinking memory and voluntary movement,A,1
syn_97,Solar energy converts sunlight into electrical energy using photovoltaic cells in solar panels. It is the cleanest most abundant renewable energy source. Solar costs have dropped dramatically over the past decade making it accessible worldwide.,What converts sunlight into electricity in solar panels?,Wind turbines,B,0
syn_98,The Great Wall of China stretches over 21196 kilometers across northern China. It was built to protect Chinese states from northern invasions beginning as early as the 7th century BC. It remains one of the greatest architectural feats in history.,How long is the Great Wall of China?,5000 kilometers,C,0
syn_99,Photosynthesis is the process by which plants use sunlight water and carbon dioxide to produce oxygen and sugar. It takes place in chloroplasts inside plant leaves. Chlorophyll absorbs sunlight and is fundamental to all life on Earth.,Where does photosynthesis primarily take place?,In the roots,D,0
syn_100,The Amazon rainforest is the world's largest tropical rainforest covering most of the Amazon basin. It represents over half of the planet's remaining rainforests and is home to three million species. Deforestation remains a critical threat driven by cattle ranching and agriculture.,What is the main threat to the Amazon rainforest?,Deforestation,A,1
syn_101,The human brain weighs about 1.4 kilograms and contains approximately 86 billion neurons. The cerebrum controls thinking memory and voluntary movement. The cerebellum coordinates balance. Scientists continue discovering new facts about brain information processing.,What does the cerebrum control?,Breathing and digestion,B,0
syn_102,Solar energy converts sunlight into electrical energy using photovoltaic cells in solar panels. It is the cleanest most abundant renewable energy source. Solar costs have dropped dramatically over the past decade making it accessible worldwide.,What converts sunlight into electricity in solar panels?,Wind turbines,C,0
syn_103,The Great Wall of China stretches over 21196 kilometers across northern China. It was built to protect Chinese states from northern invasions beginning as early as the 7th century BC. It remains one of the greatest architectural feats in history.,How long is the Great Wall of China?,5000 kilometers,D,0
syn_104,Photosynthesis is the process by which plants use sunlight water and carbon dioxide to produce oxygen and sugar. It takes place in chloroplasts inside plant leaves. Chlorophyll absorbs sunlight and is fundamental to all life on Earth.,Where does photosynthesis primarily take place?,In chloroplasts inside leaves,A,1
syn_105,The Amazon rainforest is the world's largest tropical rainforest covering most of the Amazon basin. It represents over half of the planet's remaining rainforests and is home to three million species. Deforestation remains a critical threat driven by cattle ranching and agriculture.,What is the main threat to the Amazon rainforest?,Flooding,B,0
syn_106,The human brain weighs about 1.4 kilograms and contains approximately 86 billion neurons. The cerebrum controls thinking memory and voluntary movement. The cerebellum coordinates balance. Scientists continue discovering new facts about brain information processing.,What does the cerebrum control?,Breathing and digestion,C,0
syn_107,Solar energy converts sunlight into electrical energy using photovoltaic cells in solar panels. It is the cleanest most abundant renewable energy source. Solar costs have dropped dramatically over the past decade making it accessible worldwide.,What converts sunlight into electricity in solar panels?,Wind turbines,D,0
syn_108,The Great Wall of China stretches over 21196 kilometers across northern China. It was built to protect Chinese states from northern invasions beginning as early as the 7th century BC. It remains one of the greatest architectural feats in history.,How long is the Great Wall of China?,21196 kilometers,A,1
syn_109,Photosynthesis is the process by which plants use sunlight water and carbon dioxide to produce oxygen and sugar. It takes place in chloroplasts inside plant leaves. Chlorophyll absorbs sunlight and is fundamental to all life on Earth.,Where does photosynthesis primarily take place?,In the roots,B,0
syn_110,The Amazon rainforest is the world's largest tropical rainforest covering most of the Amazon basin. It represents over half of the planet's remaining rainforests and is home to three million species. Deforestation remains a critical threat driven by cattle ranching and agriculture.,What is the main threat to the Amazon rainforest?,Flooding,C,0
syn_111,The human brain weighs about 1.4 kilograms and contains approximately 86 billion neurons. The cerebrum controls thinking memory and voluntary movement. The cerebellum coordinates balance. Scientists continue discovering new facts about brain information processing.,What does the cerebrum control?,Breathing and digestion,D,0
syn_112,Solar energy converts sunlight into electrical energy using photovoltaic cells in solar panels. It is the cleanest most abundant renewable energy source. Solar costs have dropped dramatically over the past decade making it accessible worldwide.,What converts sunlight into electricity in solar panels?,Photovoltaic cells,A,1
syn_113,The Great Wall of China stretches over 21196 kilometers across northern China. It was built to protect Chinese states from northern invasions beginning as early as the 7th century BC. It remains one of the greatest architectural feats in history.,How long is the Great Wall of China?,5000 kilometers,B,0
syn_114,Photosynthesis is the process by which plants use sunlight water and carbon dioxide to produce oxygen and sugar. It takes place in chloroplasts inside plant leaves. Chlorophyll absorbs sunlight and is fundamental to all life on Earth.,Where does photosynthesis primarily take place?,In the roots,C,0
syn_115,The Amazon rainforest is the world's largest tropical rainforest covering most of the Amazon basin. It represents over half of the planet's remaining rainforests and is home to three million species. Deforestation remains a critical threat driven by cattle ranching and agriculture.,What is the main threat to the Amazon rainforest?,Flooding,D,0
syn_116,The human brain weighs about 1.4 kilograms and contains approximately 86 billion neurons. The cerebrum controls thinking memory and voluntary movement. The cerebellum coordinates balance. Scientists continue discovering new facts about brain information processing.,What does the cerebrum control?,Thinking memory and voluntary movement,A,1
syn_117,Solar energy converts sunlight into electrical energy using photovoltaic cells in solar panels. It is the cleanest most abundant renewable energy source. Solar costs have dropped dramatically over the past decade making it accessible worldwide.,What converts sunlight into electricity in solar panels?,Wind turbines,B,0
syn_118,The Great Wall of China stretches over 21196 kilometers across northern China. It was built to protect Chinese states from northern invasions beginning as early as the 7th century BC. It remains one of the greatest architectural feats in history.,How long is the Great Wall of China?,5000 kilometers,C,0
syn_119,Photosynthesis is the process by which plants use sunlight water and carbon dioxide to produce oxygen and sugar. It takes place in chloroplasts inside plant leaves. Chlorophyll absorbs sunlight and is fundamental to all life on Earth.,Where does photosynthesis primarily take place?,In the roots,D,0
syn_120,The Amazon rainforest is the world's largest tropical rainforest covering most of the Amazon basin. It represents over half of the planet's remaining rainforests and is home to three million species. Deforestation remains a critical threat driven by cattle ranching and agriculture.,What is the main threat to the Amazon rainforest?,Deforestation,A,1
